# packages in environment at /fs/cbcb-lab/mdml/users/jason/bin/miniconda3/envs/salmon:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
aioeasywebdav             2.4.0                 py37_1000    conda-forge
aiohttp                   3.6.2            py37h516909a_0    conda-forge
appdirs                   1.4.3                      py_1    conda-forge
async-timeout             3.0.1                   py_1000    conda-forge
attrs                     19.3.0                     py_0    conda-forge
bcrypt                    3.1.7            py37h8f50634_1    conda-forge
boto3                     1.14.36            pyh9f0ad1d_0    conda-forge
botocore                  1.17.36            pyh9f0ad1d_0    conda-forge
brotlipy                  0.7.0           py37h8f50634_1000    conda-forge
bzip2                     1.0.8                h516909a_2    conda-forge
c-ares                    1.16.1               h516909a_0    conda-forge
ca-certificates           2020.6.20            hecda079_0    conda-forge
cachetools                4.1.1                      py_0    conda-forge
cairo                     1.16.0            hcf35c78_1003    conda-forge
certifi                   2020.6.20        py37hc8dfbb8_0    conda-forge
cffi                      1.14.1           py37h2b28604_0    conda-forge
chardet                   3.0.4           py37hc8dfbb8_1006    conda-forge
coloredlogs               14.0             py37hc8dfbb8_1    conda-forge
configargparse            1.2.3              pyh9f0ad1d_0    conda-forge
crc32c                    2.0              py37h516909a_0    conda-forge
cryptography              3.0              py37hb09aad4_0    conda-forge
datrie                    0.8.2            py37h8f50634_0    conda-forge
decorator                 4.4.2                      py_0    conda-forge
docutils                  0.15.2                   py37_0    conda-forge
dropbox                   10.1.1             pyh9f0ad1d_0    conda-forge
expat                     2.2.9                he1b5a44_2    conda-forge
fftw                      3.3.8           mpi_mpich_h3f9e1be_1011    conda-forge
filechunkio               1.8                        py_2    conda-forge
fontconfig                2.13.1            h86ecdb6_1001    conda-forge
freetype                  2.10.2               he06d7ca_0    conda-forge
ftputil                   4.0.0                      py_0    conda-forge
future                    0.18.2           py37hc8dfbb8_1    conda-forge
gdk-pixbuf                2.36.12           h3f25603_1005    conda-forge
gettext                   0.19.8.1          hc5be6a0_1002    conda-forge
ghostscript               9.22              hf484d3e_1001    conda-forge
giflib                    5.1.7                h516909a_1    conda-forge
gitdb                     4.0.5                      py_0    conda-forge
gitpython                 3.1.7                      py_0    conda-forge
glib                      2.65.0               h6f030ca_0    conda-forge
gobject-introspection     1.64.1           py37h619baee_1    conda-forge
google-api-core           1.22.0           py37hc8dfbb8_1    conda-forge
google-api-python-client  1.9.1              pyh9f0ad1d_1    conda-forge
google-auth               1.20.0                     py_0    conda-forge
google-auth-httplib2      0.0.3                      py_3    conda-forge
google-cloud-core         1.4.1              pyh9f0ad1d_0    conda-forge
google-cloud-storage      1.28.1             pyh9f0ad1d_0    conda-forge
google-resumable-media    0.5.1              pyh9f0ad1d_0    conda-forge
googleapis-common-protos  1.51.0           py37hc8dfbb8_2    conda-forge
